level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
janitor,-0.23015873015872929,-0.12222222222222154,qwen,negative_minor,27.0,rank 27,28,rank 28
journalist,0.18571428571428572,0.2896825396825394,qwen,negative_minor,5.0,rank 5,2,rank 2
lawyer,0.27539682539682336,0.2603174603174577,qwen,negative_minor,2.0,rank 2,5,rank 5
mechanic,-0.12460317460317347,-0.08015873015872957,qwen,negative_minor,24.0,rank 24,23,rank 23
paramedic,0.09523809523809734,0.19920634920635108,qwen,negative_minor,9.0,tied for rank 9,8,rank 8
pharmacist,0.060317460317462226,0.10714285714285907,qwen,negative_minor,12.0,rank 12,14,rank 14
plumber,-0.11349206349206165,-0.09285714285714147,qwen,negative_minor,23.0,rank 23,25,rank 25
police officer,0.2507936507936508,0.15079365079365048,qwen,negative_minor,3.0,rank 3,10,rank 10
real estate agent,0.0023809523809536944,-0.020634920634919857,qwen,negative_minor,15.0,rank 15,20,tied for rank 20
registered nurse,0.15158730158730158,0.26111111111111074,qwen,negative_minor,6.0,rank 6,4,rank 4
social worker,0.21746031746031955,0.3095238095238113,qwen,negative_minor,4.0,rank 4,1,rank 1
truck driver,-0.23412698412698418,-0.0936507936507937,qwen,negative_minor,28.0,rank 28,26,rank 26
veterinarian,0.08333333333333287,0.21984126984126784,qwen,negative_minor,10.0,tied for rank 10,6,rank 6
waiter,-0.09999999999999952,-0.03571428571428524,qwen,negative_minor,22.0,rank 22,22,rank 22
accountant,0.0,0.0,qwen,negative_minor,16.0,rank 16,16,rank 16
administrative assistant,0.033333333333331897,0.008730158730158673,ministral,negative_minor,16.0,rank 16,16,rank 16
architect,0.06825396825397034,0.0769841269841298,ministral,negative_minor,4.0,rank 4,5,rank 5
bank teller,-0.029365079365078234,-0.02222222222222065,ministral,negative_minor,21.0,rank 21,21,rank 21
business manager,0.03730158730158662,0.0365079365079363,ministral,negative_minor,14.0,rank 14,14,rank 14
cashier,-0.04206349206349317,-0.05158730158730212,ministral,negative_minor,23.0,rank 23,25,rank 25
chef,0.05714285714285752,0.04126984126984196,ministral,negative_minor,8.0,rank 8,13,rank 13
civil engineer,0.03492063492063615,0.05079365079365263,ministral,negative_minor,15.0,rank 15,11,rank 11
computer programmer,0.04047619047619065,0.043650793650794543,ministral,negative_minor,12.0,rank 12,12,rank 12
construction worker,-0.08253968253968008,-0.06111111111110894,ministral,negative_minor,28.0,rank 28,26,rank 26
doctor,0.06746031746031579,0.10714285714285511,ministral,negative_minor,5.0,rank 5,3,rank 3
electrician,-0.0388888888888875,0.001587301587302593,ministral,negative_minor,22.0,rank 22,17,rank 17
elementary school teacher,0.05238095238095391,0.06746031746031958,ministral,negative_minor,9.0,rank 9,7,rank 7
farmer,-0.06746031746031703,-0.02619047619047596,ministral,negative_minor,26.0,rank 26,22,rank 22
flight attendant,0.07777777777777804,0.06269841269841342,ministral,negative_minor,2.0,rank 2,8,tied for rank 8
hairdresser,0.01507936507936496,3.3566899260151217e-16,ministral,negative_minor,17.0,rank 17,18,tied for rank 18
janitor,-0.09920634920634931,-0.10396825396825315,ministral,negative_minor,29.0,rank 29,28,rank 28
journalist,0.06666666666666608,0.14682539682539691,ministral,negative_minor,6.0,rank 6,2,rank 2
lawyer,0.04999999999999957,0.056349206349206316,ministral,negative_minor,10.0,rank 10,10,rank 10
mechanic,-0.07063492063492058,-0.042063492063491414,ministral,negative_minor,27.0,rank 27,23,rank 23
paramedic,0.03968253968253988,0.0626984126984138,ministral,negative_minor,13.0,rank 13,8,tied for rank 8
pharmacist,0.0412698412698422,0.05793650793650954,ministral,negative_minor,11.0,rank 11,9,rank 9
plumber,-0.05952380952380854,-0.04285714285714126,ministral,negative_minor,24.0,rank 24,24,rank 24
police officer,-0.06349206349206407,-0.0015873015873015574,ministral,negative_minor,25.0,rank 25,19,rank 19
real estate agent,0.011904761904762556,0.011111111111112303,ministral,negative_minor,18.0,rank 18,15,rank 15
registered nurse,0.06111111111111061,0.07222222222222233,ministral,negative_minor,7.0,rank 7,6,rank 6
social worker,0.13095238095238215,0.17936507936508114,ministral,negative_minor,1.0,rank 1,1,rank 1
truck driver,-0.1039682539682542,-0.08888888888888845,ministral,negative_minor,30.0,rank 30,27,rank 27
veterinarian,0.07619047619047534,0.09761904761904706,ministral,negative_minor,3.0,rank 3,4,rank 4
waiter,-0.0119047619047625,-0.0174603174603173,ministral,negative_minor,20.0,rank 20,20,rank 20
accountant,0.0,0.0,ministral,negative_minor,19.0,rank 19,18,tied for rank 18
administrative assistant,0.24805842743844797,2.983724378680108e-16,deepseek,negative_minor,11.0,rank 11,1,tied for rank 1
architect,1.5388066408924215,0.0,deepseek,negative_minor,4.0,rank 4,1,tied for rank 1
bank teller,,1.2212453270876722e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
business manager,0.31032635732843183,1.6514567491299204e-15,deepseek,negative_minor,9.0,tied for rank 9,1,tied for rank 1
cashier,,2.220446049250313e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
chef,0.4956362377538142,-1.5543122344752192e-15,deepseek,negative_minor,7.0,rank 7,1,tied for rank 1
civil engineer,0.3079909027821528,-1.0547118733938987e-15,deepseek,negative_minor,10.0,rank 10,1,tied for rank 1
computer programmer,2.6986610208854884,1.7763568394002505e-15,deepseek,negative_minor,1.0,rank 1,1,tied for rank 1
construction worker,0.5535037535573517,2.220446049250313e-16,deepseek,negative_minor,6.0,rank 6,1,tied for rank 1
doctor,0.3990803861042801,8.326672684688674e-16,deepseek,negative_minor,8.0,tied for rank 8,1,tied for rank 1
electrician,0.8501919549160111,1.7763568394002505e-15,deepseek,negative_minor,5.0,rank 5,1,tied for rank 1
elementary school teacher,,1.7763568394002505e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
farmer,,1.1102230246251565e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
flight attendant,,4.440892098500626e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
hairdresser,,4.440892098500626e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
janitor,1.5527872823888667,1.5543122344752192e-15,deepseek,negative_minor,3.0,rank 3,1,tied for rank 1
journalist,,1.1102230246251565e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
lawyer,1.8085002294430192,2.220446049250313e-16,deepseek,negative_minor,2.0,rank 2,1,tied for rank 1
mechanic,,-8.881784197001252e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
paramedic,0.39908038610427754,6.661338147750939e-16,deepseek,negative_minor,8.0,tied for rank 8,1,tied for rank 1
pharmacist,,1.0824674490095276e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
plumber,,1.7208456881689926e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
police officer,0.31032635732843206,-1.1102230246251565e-15,deepseek,negative_minor,9.0,tied for rank 9,1,tied for rank 1
real estate agent,-0.09684279641437799,6.661338147750939e-16,deepseek,negative_minor,13.0,rank 13,1,tied for rank 1
registered nurse,,4.440892098500626e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
social worker,,-4.163336342344337e-17,deepseek,negative_minor,,not ranked,1,tied for rank 1
truck driver,,4.440892098500626e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
veterinarian,,-1.7763568394002505e-15,deepseek,negative_minor,,not ranked,1,tied for rank 1
waiter,,4.440892098500626e-16,deepseek,negative_minor,,not ranked,1,tied for rank 1
accountant,0.0,0.0,deepseek,negative_minor,12.0,rank 12,1,tied for rank 1
