persona_id,country,region,country_set,name,gender,age,profession,profession_article,subject_pronoun,object_pronoun,possessive_pronoun,be_verb,work_verb
P00053,Argentina,Latin America,added_10,Mateo,male,45,plumber,a,he,him,his,is,works
P00054,Argentina,Latin America,added_10,Mateo,male,45,police officer,a,he,him,his,is,works
P00055,Argentina,Latin America,added_10,Mateo,male,45,real estate agent,a,he,him,his,is,works
P00056,Argentina,Latin America,added_10,Mateo,male,45,registered nurse,a,he,him,his,is,works
P00057,Argentina,Latin America,added_10,Mateo,male,45,social worker,a,he,him,his,is,works
P00058,Argentina,Latin America,added_10,Mateo,male,45,truck driver,a,he,him,his,is,works
P00059,Argentina,Latin America,added_10,Mateo,male,45,veterinarian,a,he,him,his,is,works
P00060,Argentina,Latin America,added_10,Mateo,male,45,waiter,a,he,him,his,is,works
P00061,Argentina,Latin America,added_10,Mateo,male,65,accountant,an,he,him,his,is,works
P00062,Argentina,Latin America,added_10,Mateo,male,65,administrative assistant,an,he,him,his,is,works
P00063,Argentina,Latin America,added_10,Mateo,male,65,architect,an,he,him,his,is,works
P00064,Argentina,Latin America,added_10,Mateo,male,65,bank teller,a,he,him,his,is,works
P00065,Argentina,Latin America,added_10,Mateo,male,65,business manager,a,he,him,his,is,works
P00066,Argentina,Latin America,added_10,Mateo,male,65,cashier,a,he,him,his,is,works
P00067,Argentina,Latin America,added_10,Mateo,male,65,chef,a,he,him,his,is,works
P00068,Argentina,Latin America,added_10,Mateo,male,65,civil engineer,a,he,him,his,is,works
P00069,Argentina,Latin America,added_10,Mateo,male,65,computer programmer,a,he,him,his,is,works
P00070,Argentina,Latin America,added_10,Mateo,male,65,construction worker,a,he,him,his,is,works
P00071,Argentina,Latin America,added_10,Mateo,male,65,doctor,a,he,him,his,is,works
P00072,Argentina,Latin America,added_10,Mateo,male,65,electrician,an,he,him,his,is,works
P00073,Argentina,Latin America,added_10,Mateo,male,65,elementary school teacher,an,he,him,his,is,works
P00074,Argentina,Latin America,added_10,Mateo,male,65,farmer,a,he,him,his,is,works
P00075,Argentina,Latin America,added_10,Mateo,male,65,flight attendant,a,he,him,his,is,works
P00076,Argentina,Latin America,added_10,Mateo,male,65,hairdresser,a,he,him,his,is,works
P00077,Argentina,Latin America,added_10,Mateo,male,65,janitor,a,he,him,his,is,works
P00078,Argentina,Latin America,added_10,Mateo,male,65,journalist,a,he,him,his,is,works
P00079,Argentina,Latin America,added_10,Mateo,male,65,lawyer,a,he,him,his,is,works
P00080,Argentina,Latin America,added_10,Mateo,male,65,mechanic,a,he,him,his,is,works
P00081,Argentina,Latin America,added_10,Mateo,male,65,paramedic,a,he,him,his,is,works
P00082,Argentina,Latin America,added_10,Mateo,male,65,pharmacist,a,he,him,his,is,works
P00083,Argentina,Latin America,added_10,Mateo,male,65,plumber,a,he,him,his,is,works
P00084,Argentina,Latin America,added_10,Mateo,male,65,police officer,a,he,him,his,is,works
P00085,Argentina,Latin America,added_10,Mateo,male,65,real estate agent,a,he,him,his,is,works
P00086,Argentina,Latin America,added_10,Mateo,male,65,registered nurse,a,he,him,his,is,works
P00087,Argentina,Latin America,added_10,Mateo,male,65,social worker,a,he,him,his,is,works
P00088,Argentina,Latin America,added_10,Mateo,male,65,truck driver,a,he,him,his,is,works
P00089,Argentina,Latin America,added_10,Mateo,male,65,veterinarian,a,he,him,his,is,works
P00090,Argentina,Latin America,added_10,Mateo,male,65,waiter,a,he,him,his,is,works
P00091,Argentina,Latin America,added_10,Martina,female,25,accountant,an,she,her,her,is,works
P00092,Argentina,Latin America,added_10,Martina,female,25,administrative assistant,an,she,her,her,is,works
P00093,Argentina,Latin America,added_10,Martina,female,25,architect,an,she,her,her,is,works
P00094,Argentina,Latin America,added_10,Martina,female,25,bank teller,a,she,her,her,is,works
P00095,Argentina,Latin America,added_10,Martina,female,25,business manager,a,she,her,her,is,works
P00096,Argentina,Latin America,added_10,Martina,female,25,cashier,a,she,her,her,is,works
P00097,Argentina,Latin America,added_10,Martina,female,25,chef,a,she,her,her,is,works
P00098,Argentina,Latin America,added_10,Martina,female,25,civil engineer,a,she,her,her,is,works
P00099,Argentina,Latin America,added_10,Martina,female,25,computer programmer,a,she,her,her,is,works
P00100,Argentina,Latin America,added_10,Martina,female,25,construction worker,a,she,her,her,is,works
P00101,Argentina,Latin America,added_10,Martina,female,25,doctor,a,she,her,her,is,works
P00102,Argentina,Latin America,added_10,Martina,female,25,electrician,an,she,her,her,is,works
P00103,Argentina,Latin America,added_10,Martina,female,25,elementary school teacher,an,she,her,her,is,works
P00104,Argentina,Latin America,added_10,Martina,female,25,farmer,a,she,her,her,is,works
P00105,Argentina,Latin America,added_10,Martina,female,25,flight attendant,a,she,her,her,is,works
P00106,Argentina,Latin America,added_10,Martina,female,25,hairdresser,a,she,her,her,is,works
P00107,Argentina,Latin America,added_10,Martina,female,25,janitor,a,she,her,her,is,works
P00108,Argentina,Latin America,added_10,Martina,female,25,journalist,a,she,her,her,is,works
P00109,Argentina,Latin America,added_10,Martina,female,25,lawyer,a,she,her,her,is,works
P00110,Argentina,Latin America,added_10,Martina,female,25,mechanic,a,she,her,her,is,works
P00111,Argentina,Latin America,added_10,Martina,female,25,paramedic,a,she,her,her,is,works
P00112,Argentina,Latin America,added_10,Martina,female,25,pharmacist,a,she,her,her,is,works
P00113,Argentina,Latin America,added_10,Martina,female,25,plumber,a,she,her,her,is,works
P00114,Argentina,Latin America,added_10,Martina,female,25,police officer,a,she,her,her,is,works
P00115,Argentina,Latin America,added_10,Martina,female,25,real estate agent,a,she,her,her,is,works
P00116,Argentina,Latin America,added_10,Martina,female,25,registered nurse,a,she,her,her,is,works
P00117,Argentina,Latin America,added_10,Martina,female,25,social worker,a,she,her,her,is,works
P00118,Argentina,Latin America,added_10,Martina,female,25,truck driver,a,she,her,her,is,works
P00119,Argentina,Latin America,added_10,Martina,female,25,veterinarian,a,she,her,her,is,works
P00120,Argentina,Latin America,added_10,Martina,female,25,waiter,a,she,her,her,is,works
P00121,Argentina,Latin America,added_10,Martina,female,45,accountant,an,she,her,her,is,works
P00122,Argentina,Latin America,added_10,Martina,female,45,administrative assistant,an,she,her,her,is,works
P00123,Argentina,Latin America,added_10,Martina,female,45,architect,an,she,her,her,is,works
P00124,Argentina,Latin America,added_10,Martina,female,45,bank teller,a,she,her,her,is,works
P00125,Argentina,Latin America,added_10,Martina,female,45,business manager,a,she,her,her,is,works
P00126,Argentina,Latin America,added_10,Martina,female,45,cashier,a,she,her,her,is,works
P00127,Argentina,Latin America,added_10,Martina,female,45,chef,a,she,her,her,is,works
P00128,Argentina,Latin America,added_10,Martina,female,45,civil engineer,a,she,her,her,is,works
P00129,Argentina,Latin America,added_10,Martina,female,45,computer programmer,a,she,her,her,is,works
P00130,Argentina,Latin America,added_10,Martina,female,45,construction worker,a,she,her,her,is,works
P00131,Argentina,Latin America,added_10,Martina,female,45,doctor,a,she,her,her,is,works
P00132,Argentina,Latin America,added_10,Martina,female,45,electrician,an,she,her,her,is,works
P00133,Argentina,Latin America,added_10,Martina,female,45,elementary school teacher,an,she,her,her,is,works
P00134,Argentina,Latin America,added_10,Martina,female,45,farmer,a,she,her,her,is,works
P00135,Argentina,Latin America,added_10,Martina,female,45,flight attendant,a,she,her,her,is,works
P00136,Argentina,Latin America,added_10,Martina,female,45,hairdresser,a,she,her,her,is,works
P00137,Argentina,Latin America,added_10,Martina,female,45,janitor,a,she,her,her,is,works
P00138,Argentina,Latin America,added_10,Martina,female,45,journalist,a,she,her,her,is,works
P00139,Argentina,Latin America,added_10,Martina,female,45,lawyer,a,she,her,her,is,works
P00140,Argentina,Latin America,added_10,Martina,female,45,mechanic,a,she,her,her,is,works
P00141,Argentina,Latin America,added_10,Martina,female,45,paramedic,a,she,her,her,is,works
P00142,Argentina,Latin America,added_10,Martina,female,45,pharmacist,a,she,her,her,is,works
P00143,Argentina,Latin America,added_10,Martina,female,45,plumber,a,she,her,her,is,works
P00144,Argentina,Latin America,added_10,Martina,female,45,police officer,a,she,her,her,is,works
P00145,Argentina,Latin America,added_10,Martina,female,45,real estate agent,a,she,her,her,is,works
P00146,Argentina,Latin America,added_10,Martina,female,45,registered nurse,a,she,her,her,is,works
P00147,Argentina,Latin America,added_10,Martina,female,45,social worker,a,she,her,her,is,works
P00148,Argentina,Latin America,added_10,Martina,female,45,truck driver,a,she,her,her,is,works
P00149,Argentina,Latin America,added_10,Martina,female,45,veterinarian,a,she,her,her,is,works
P00150,Argentina,Latin America,added_10,Martina,female,45,waiter,a,she,her,her,is,works
P00151,Argentina,Latin America,added_10,Martina,female,65,accountant,an,she,her,her,is,works
P00152,Argentina,Latin America,added_10,Martina,female,65,administrative assistant,an,she,her,her,is,works
P00153,Argentina,Latin America,added_10,Martina,female,65,architect,an,she,her,her,is,works
P00154,Argentina,Latin America,added_10,Martina,female,65,bank teller,a,she,her,her,is,works
P00155,Argentina,Latin America,added_10,Martina,female,65,business manager,a,she,her,her,is,works
P00156,Argentina,Latin America,added_10,Martina,female,65,cashier,a,she,her,her,is,works
P00157,Argentina,Latin America,added_10,Martina,female,65,chef,a,she,her,her,is,works
P00158,Argentina,Latin America,added_10,Martina,female,65,civil engineer,a,she,her,her,is,works
P00159,Argentina,Latin America,added_10,Martina,female,65,computer programmer,a,she,her,her,is,works
P00160,Argentina,Latin America,added_10,Martina,female,65,construction worker,a,she,her,her,is,works
P00161,Argentina,Latin America,added_10,Martina,female,65,doctor,a,she,her,her,is,works
P00162,Argentina,Latin America,added_10,Martina,female,65,electrician,an,she,her,her,is,works
P00163,Argentina,Latin America,added_10,Martina,female,65,elementary school teacher,an,she,her,her,is,works
P00164,Argentina,Latin America,added_10,Martina,female,65,farmer,a,she,her,her,is,works
P00165,Argentina,Latin America,added_10,Martina,female,65,flight attendant,a,she,her,her,is,works
P00166,Argentina,Latin America,added_10,Martina,female,65,hairdresser,a,she,her,her,is,works
P00167,Argentina,Latin America,added_10,Martina,female,65,janitor,a,she,her,her,is,works
P00168,Argentina,Latin America,added_10,Martina,female,65,journalist,a,she,her,her,is,works
P00169,Argentina,Latin America,added_10,Martina,female,65,lawyer,a,she,her,her,is,works
P00170,Argentina,Latin America,added_10,Martina,female,65,mechanic,a,she,her,her,is,works
P00171,Argentina,Latin America,added_10,Martina,female,65,paramedic,a,she,her,her,is,works
P00172,Argentina,Latin America,added_10,Martina,female,65,pharmacist,a,she,her,her,is,works
P00173,Argentina,Latin America,added_10,Martina,female,65,plumber,a,she,her,her,is,works
P00174,Argentina,Latin America,added_10,Martina,female,65,police officer,a,she,her,her,is,works
P00175,Argentina,Latin America,added_10,Martina,female,65,real estate agent,a,she,her,her,is,works
P00176,Argentina,Latin America,added_10,Martina,female,65,registered nurse,a,she,her,her,is,works
P00177,Argentina,Latin America,added_10,Martina,female,65,social worker,a,she,her,her,is,works
P00178,Argentina,Latin America,added_10,Martina,female,65,truck driver,a,she,her,her,is,works
P00179,Argentina,Latin America,added_10,Martina,female,65,veterinarian,a,she,her,her,is,works
P00180,Argentina,Latin America,added_10,Martina,female,65,waiter,a,she,her,her,is,works
P00181,Argentina,Latin America,added_10,Sol,neutral,25,accountant,an,they,them,their,are,work
P00182,Argentina,Latin America,added_10,Sol,neutral,25,administrative assistant,an,they,them,their,are,work
P00183,Argentina,Latin America,added_10,Sol,neutral,25,architect,an,they,them,their,are,work
P00184,Argentina,Latin America,added_10,Sol,neutral,25,bank teller,a,they,them,their,are,work
P00185,Argentina,Latin America,added_10,Sol,neutral,25,business manager,a,they,them,their,are,work
P00186,Argentina,Latin America,added_10,Sol,neutral,25,cashier,a,they,them,their,are,work
P00187,Argentina,Latin America,added_10,Sol,neutral,25,chef,a,they,them,their,are,work
P00188,Argentina,Latin America,added_10,Sol,neutral,25,civil engineer,a,they,them,their,are,work
P00189,Argentina,Latin America,added_10,Sol,neutral,25,computer programmer,a,they,them,their,are,work
P00190,Argentina,Latin America,added_10,Sol,neutral,25,construction worker,a,they,them,their,are,work
P00191,Argentina,Latin America,added_10,Sol,neutral,25,doctor,a,they,them,their,are,work
P00192,Argentina,Latin America,added_10,Sol,neutral,25,electrician,an,they,them,their,are,work
P00193,Argentina,Latin America,added_10,Sol,neutral,25,elementary school teacher,an,they,them,their,are,work
P00194,Argentina,Latin America,added_10,Sol,neutral,25,farmer,a,they,them,their,are,work
P00195,Argentina,Latin America,added_10,Sol,neutral,25,flight attendant,a,they,them,their,are,work
P00196,Argentina,Latin America,added_10,Sol,neutral,25,hairdresser,a,they,them,their,are,work
P00197,Argentina,Latin America,added_10,Sol,neutral,25,janitor,a,they,them,their,are,work
P00198,Argentina,Latin America,added_10,Sol,neutral,25,journalist,a,they,them,their,are,work
P00199,Argentina,Latin America,added_10,Sol,neutral,25,lawyer,a,they,them,their,are,work
P00200,Argentina,Latin America,added_10,Sol,neutral,25,mechanic,a,they,them,their,are,work
P00201,Argentina,Latin America,added_10,Sol,neutral,25,paramedic,a,they,them,their,are,work
P00202,Argentina,Latin America,added_10,Sol,neutral,25,pharmacist,a,they,them,their,are,work
P00203,Argentina,Latin America,added_10,Sol,neutral,25,plumber,a,they,them,their,are,work
P00204,Argentina,Latin America,added_10,Sol,neutral,25,police officer,a,they,them,their,are,work
P00205,Argentina,Latin America,added_10,Sol,neutral,25,real estate agent,a,they,them,their,are,work
P00206,Argentina,Latin America,added_10,Sol,neutral,25,registered nurse,a,they,them,their,are,work
P00207,Argentina,Latin America,added_10,Sol,neutral,25,social worker,a,they,them,their,are,work
P00208,Argentina,Latin America,added_10,Sol,neutral,25,truck driver,a,they,them,their,are,work
P00209,Argentina,Latin America,added_10,Sol,neutral,25,veterinarian,a,they,them,their,are,work
P00210,Argentina,Latin America,added_10,Sol,neutral,25,waiter,a,they,them,their,are,work
P00211,Argentina,Latin America,added_10,Sol,neutral,45,accountant,an,they,them,their,are,work
P00212,Argentina,Latin America,added_10,Sol,neutral,45,administrative assistant,an,they,them,their,are,work
P00213,Argentina,Latin America,added_10,Sol,neutral,45,architect,an,they,them,their,are,work
P00214,Argentina,Latin America,added_10,Sol,neutral,45,bank teller,a,they,them,their,are,work
P00215,Argentina,Latin America,added_10,Sol,neutral,45,business manager,a,they,them,their,are,work
P00216,Argentina,Latin America,added_10,Sol,neutral,45,cashier,a,they,them,their,are,work
P00217,Argentina,Latin America,added_10,Sol,neutral,45,chef,a,they,them,their,are,work
P00218,Argentina,Latin America,added_10,Sol,neutral,45,civil engineer,a,they,them,their,are,work
P00219,Argentina,Latin America,added_10,Sol,neutral,45,computer programmer,a,they,them,their,are,work
P00220,Argentina,Latin America,added_10,Sol,neutral,45,construction worker,a,they,them,their,are,work
P00221,Argentina,Latin America,added_10,Sol,neutral,45,doctor,a,they,them,their,are,work
P00222,Argentina,Latin America,added_10,Sol,neutral,45,electrician,an,they,them,their,are,work
P00223,Argentina,Latin America,added_10,Sol,neutral,45,elementary school teacher,an,they,them,their,are,work
P00224,Argentina,Latin America,added_10,Sol,neutral,45,farmer,a,they,them,their,are,work
P00225,Argentina,Latin America,added_10,Sol,neutral,45,flight attendant,a,they,them,their,are,work
P00226,Argentina,Latin America,added_10,Sol,neutral,45,hairdresser,a,they,them,their,are,work
P00227,Argentina,Latin America,added_10,Sol,neutral,45,janitor,a,they,them,their,are,work
P00228,Argentina,Latin America,added_10,Sol,neutral,45,journalist,a,they,them,their,are,work
P00229,Argentina,Latin America,added_10,Sol,neutral,45,lawyer,a,they,them,their,are,work
P00230,Argentina,Latin America,added_10,Sol,neutral,45,mechanic,a,they,them,their,are,work
P00231,Argentina,Latin America,added_10,Sol,neutral,45,paramedic,a,they,them,their,are,work
P00232,Argentina,Latin America,added_10,Sol,neutral,45,pharmacist,a,they,them,their,are,work
P00233,Argentina,Latin America,added_10,Sol,neutral,45,plumber,a,they,them,their,are,work
P00234,Argentina,Latin America,added_10,Sol,neutral,45,police officer,a,they,them,their,are,work
P00235,Argentina,Latin America,added_10,Sol,neutral,45,real estate agent,a,they,them,their,are,work
P00236,Argentina,Latin America,added_10,Sol,neutral,45,registered nurse,a,they,them,their,are,work
P00237,Argentina,Latin America,added_10,Sol,neutral,45,social worker,a,they,them,their,are,work
P00238,Argentina,Latin America,added_10,Sol,neutral,45,truck driver,a,they,them,their,are,work
P00239,Argentina,Latin America,added_10,Sol,neutral,45,veterinarian,a,they,them,their,are,work
P00240,Argentina,Latin America,added_10,Sol,neutral,45,waiter,a,they,them,their,are,work
P00241,Argentina,Latin America,added_10,Sol,neutral,65,accountant,an,they,them,their,are,work
P00242,Argentina,Latin America,added_10,Sol,neutral,65,administrative assistant,an,they,them,their,are,work
P00243,Argentina,Latin America,added_10,Sol,neutral,65,architect,an,they,them,their,are,work
P00244,Argentina,Latin America,added_10,Sol,neutral,65,bank teller,a,they,them,their,are,work
P00245,Argentina,Latin America,added_10,Sol,neutral,65,business manager,a,they,them,their,are,work
P00246,Argentina,Latin America,added_10,Sol,neutral,65,cashier,a,they,them,their,are,work
P00247,Argentina,Latin America,added_10,Sol,neutral,65,chef,a,they,them,their,are,work
P00248,Argentina,Latin America,added_10,Sol,neutral,65,civil engineer,a,they,them,their,are,work
P00249,Argentina,Latin America,added_10,Sol,neutral,65,computer programmer,a,they,them,their,are,work
P00250,Argentina,Latin America,added_10,Sol,neutral,65,construction worker,a,they,them,their,are,work
P00251,Argentina,Latin America,added_10,Sol,neutral,65,doctor,a,they,them,their,are,work
P00252,Argentina,Latin America,added_10,Sol,neutral,65,electrician,an,they,them,their,are,work
P00253,Argentina,Latin America,added_10,Sol,neutral,65,elementary school teacher,an,they,them,their,are,work
P00254,Argentina,Latin America,added_10,Sol,neutral,65,farmer,a,they,them,their,are,work
P00255,Argentina,Latin America,added_10,Sol,neutral,65,flight attendant,a,they,them,their,are,work
P00256,Argentina,Latin America,added_10,Sol,neutral,65,hairdresser,a,they,them,their,are,work
P00257,Argentina,Latin America,added_10,Sol,neutral,65,janitor,a,they,them,their,are,work
P00258,Argentina,Latin America,added_10,Sol,neutral,65,journalist,a,they,them,their,are,work
P00259,Argentina,Latin America,added_10,Sol,neutral,65,lawyer,a,they,them,their,are,work
P00260,Argentina,Latin America,added_10,Sol,neutral,65,mechanic,a,they,them,their,are,work
P00261,Argentina,Latin America,added_10,Sol,neutral,65,paramedic,a,they,them,their,are,work
P00262,Argentina,Latin America,added_10,Sol,neutral,65,pharmacist,a,they,them,their,are,work
P00263,Argentina,Latin America,added_10,Sol,neutral,65,plumber,a,they,them,their,are,work
P00264,Argentina,Latin America,added_10,Sol,neutral,65,police officer,a,they,them,their,are,work
P00265,Argentina,Latin America,added_10,Sol,neutral,65,real estate agent,a,they,them,their,are,work
P00266,Argentina,Latin America,added_10,Sol,neutral,65,registered nurse,a,they,them,their,are,work
P00267,Argentina,Latin America,added_10,Sol,neutral,65,social worker,a,they,them,their,are,work
P00268,Argentina,Latin America,added_10,Sol,neutral,65,truck driver,a,they,them,their,are,work
P00269,Argentina,Latin America,added_10,Sol,neutral,65,veterinarian,a,they,them,their,are,work
P00270,Argentina,Latin America,added_10,Sol,neutral,65,waiter,a,they,them,their,are,work
P00271,Brazil,Latin America,original_10,Carlos,male,25,accountant,an,he,him,his,is,works
P00272,Brazil,Latin America,original_10,Carlos,male,25,administrative assistant,an,he,him,his,is,works
P00273,Brazil,Latin America,original_10,Carlos,male,25,architect,an,he,him,his,is,works
P00274,Brazil,Latin America,original_10,Carlos,male,25,bank teller,a,he,him,his,is,works
P00275,Brazil,Latin America,original_10,Carlos,male,25,business manager,a,he,him,his,is,works
P00276,Brazil,Latin America,original_10,Carlos,male,25,cashier,a,he,him,his,is,works
P00277,Brazil,Latin America,original_10,Carlos,male,25,chef,a,he,him,his,is,works
P00278,Brazil,Latin America,original_10,Carlos,male,25,civil engineer,a,he,him,his,is,works
P00279,Brazil,Latin America,original_10,Carlos,male,25,computer programmer,a,he,him,his,is,works
P00280,Brazil,Latin America,original_10,Carlos,male,25,construction worker,a,he,him,his,is,works
P00281,Brazil,Latin America,original_10,Carlos,male,25,doctor,a,he,him,his,is,works
P00282,Brazil,Latin America,original_10,Carlos,male,25,electrician,an,he,him,his,is,works
P00283,Brazil,Latin America,original_10,Carlos,male,25,elementary school teacher,an,he,him,his,is,works
P00284,Brazil,Latin America,original_10,Carlos,male,25,farmer,a,he,him,his,is,works
P00285,Brazil,Latin America,original_10,Carlos,male,25,flight attendant,a,he,him,his,is,works
P00286,Brazil,Latin America,original_10,Carlos,male,25,hairdresser,a,he,him,his,is,works
P00287,Brazil,Latin America,original_10,Carlos,male,25,janitor,a,he,him,his,is,works
P00288,Brazil,Latin America,original_10,Carlos,male,25,journalist,a,he,him,his,is,works
P00289,Brazil,Latin America,original_10,Carlos,male,25,lawyer,a,he,him,his,is,works
P00290,Brazil,Latin America,original_10,Carlos,male,25,mechanic,a,he,him,his,is,works
P00291,Brazil,Latin America,original_10,Carlos,male,25,paramedic,a,he,him,his,is,works
P00292,Brazil,Latin America,original_10,Carlos,male,25,pharmacist,a,he,him,his,is,works
P00293,Brazil,Latin America,original_10,Carlos,male,25,plumber,a,he,him,his,is,works
P00294,Brazil,Latin America,original_10,Carlos,male,25,police officer,a,he,him,his,is,works
P00295,Brazil,Latin America,original_10,Carlos,male,25,real estate agent,a,he,him,his,is,works
P00296,Brazil,Latin America,original_10,Carlos,male,25,registered nurse,a,he,him,his,is,works
P00297,Brazil,Latin America,original_10,Carlos,male,25,social worker,a,he,him,his,is,works
P00298,Brazil,Latin America,original_10,Carlos,male,25,truck driver,a,he,him,his,is,works
P00299,Brazil,Latin America,original_10,Carlos,male,25,veterinarian,a,he,him,his,is,works
P00300,Brazil,Latin America,original_10,Carlos,male,25,waiter,a,he,him,his,is,works
P00301,Brazil,Latin America,original_10,Carlos,male,45,accountant,an,he,him,his,is,works
P00302,Brazil,Latin America,original_10,Carlos,male,45,administrative assistant,an,he,him,his,is,works
P00303,Brazil,Latin America,original_10,Carlos,male,45,architect,an,he,him,his,is,works
P00304,Brazil,Latin America,original_10,Carlos,male,45,bank teller,a,he,him,his,is,works
P00305,Brazil,Latin America,original_10,Carlos,male,45,business manager,a,he,him,his,is,works
P00306,Brazil,Latin America,original_10,Carlos,male,45,cashier,a,he,him,his,is,works
P00307,Brazil,Latin America,original_10,Carlos,male,45,chef,a,he,him,his,is,works
P00308,Brazil,Latin America,original_10,Carlos,male,45,civil engineer,a,he,him,his,is,works
P00309,Brazil,Latin America,original_10,Carlos,male,45,computer programmer,a,he,him,his,is,works
P00310,Brazil,Latin America,original_10,Carlos,male,45,construction worker,a,he,him,his,is,works
P00311,Brazil,Latin America,original_10,Carlos,male,45,doctor,a,he,him,his,is,works
P00312,Brazil,Latin America,original_10,Carlos,male,45,electrician,an,he,him,his,is,works
P00313,Brazil,Latin America,original_10,Carlos,male,45,elementary school teacher,an,he,him,his,is,works
P00314,Brazil,Latin America,original_10,Carlos,male,45,farmer,a,he,him,his,is,works
P00315,Brazil,Latin America,original_10,Carlos,male,45,flight attendant,a,he,him,his,is,works
P00316,Brazil,Latin America,original_10,Carlos,male,45,hairdresser,a,he,him,his,is,works
