persona_id,country,profession,gender,age,topic,mean_rating,sd_across_models,consensus_rank,rating_llama,rating_gemma,rating_qwen,rating_ministral
P03950,Pakistan,mechanic,female,65,climate change,4.0,0.0,88,4,4,4.0,4.0
P01372,France,pharmacist,male,25,religion and secularism,3.0,0.0,89,3,3,3.0,3.0
P01373,France,plumber,male,25,lgbtq rights,4.0,0.0,90,4,4,4.0,4.0
P01373,France,plumber,male,25,religion and secularism,3.0,0.0,91,3,3,3.0,3.0
P03949,Pakistan,lawyer,female,65,climate change,4.0,0.0,92,4,4,4.0,4.0
P01374,France,police officer,male,25,climate change,4.0,0.0,93,4,4,4.0,4.0
P01374,France,police officer,male,25,religion and secularism,3.0,0.0,94,3,3,3.0,3.0
P03948,Pakistan,journalist,female,65,climate change,4.0,0.0,95,4,4,4.0,4.0
P01375,France,real estate agent,male,25,climate change,4.0,0.0,96,4,4,4.0,4.0
P01375,France,real estate agent,male,25,religion and secularism,3.0,0.0,97,3,3,3.0,3.0
P01376,France,registered nurse,male,25,climate change,4.0,0.0,98,4,4,4.0,4.0
P01376,France,registered nurse,male,25,religion and secularism,3.0,0.0,99,3,3,3.0,3.0
P01377,France,social worker,male,25,climate change,4.0,0.0,100,4,4,4.0,4.0
P03945,Pakistan,flight attendant,female,65,climate change,4.0,0.0,101,4,4,4.0,4.0
P03944,Pakistan,farmer,female,65,gender equality,4.0,0.0,102,4,4,4.0,4.0
P01378,France,truck driver,male,25,religion and secularism,3.0,0.0,103,3,3,3.0,3.0
P03943,Pakistan,elementary school teacher,female,65,climate change,4.0,0.0,104,4,4,4.0,4.0
P01372,France,pharmacist,male,25,climate change,4.0,0.0,105,4,4,4.0,4.0
P03951,Pakistan,paramedic,female,65,climate change,4.0,0.0,106,4,4,4.0,4.0
P01371,France,paramedic,male,25,religion and secularism,3.0,0.0,107,3,3,3.0,3.0
P01371,France,paramedic,male,25,climate change,4.0,0.0,108,4,4,4.0,4.0
P01364,France,farmer,male,25,climate change,4.0,0.0,109,4,4,4.0,4.0
P01364,France,farmer,male,25,religion and secularism,3.0,0.0,110,3,3,3.0,3.0
P03959,Pakistan,veterinarian,female,65,climate change,4.0,0.0,111,4,4,4.0,4.0
P01365,France,flight attendant,male,25,climate change,4.0,0.0,112,4,4,4.0,4.0
P01365,France,flight attendant,male,25,religion and secularism,3.0,0.0,113,3,3,3.0,3.0
P03957,Pakistan,social worker,female,65,climate change,4.0,0.0,114,4,4,4.0,4.0
P01366,France,hairdresser,male,25,religion and secularism,3.0,0.0,115,3,3,3.0,3.0
P03956,Pakistan,registered nurse,female,65,climate change,4.0,0.0,116,4,4,4.0,4.0
P01379,France,veterinarian,male,25,climate change,4.0,0.0,117,4,4,4.0,4.0
P01367,France,janitor,male,25,religion and secularism,3.0,0.0,118,3,3,3.0,3.0
P03955,Pakistan,real estate agent,female,65,climate change,4.0,0.0,119,4,4,4.0,4.0
P01368,France,journalist,male,25,religion and secularism,3.0,0.0,120,3,3,3.0,3.0
P01369,France,lawyer,male,25,climate change,4.0,0.0,121,4,4,4.0,4.0
P03954,Pakistan,police officer,female,65,climate change,4.0,0.0,122,4,4,4.0,4.0
P01369,France,lawyer,male,25,religion and secularism,3.0,0.0,123,3,3,3.0,3.0
P03953,Pakistan,plumber,female,65,climate change,4.0,0.0,124,4,4,4.0,4.0
P01370,France,mechanic,male,25,religion and secularism,3.0,0.0,125,3,3,3.0,3.0
P03952,Pakistan,pharmacist,female,65,climate change,4.0,0.0,126,4,4,4.0,4.0
P01368,France,journalist,male,25,climate change,4.0,0.0,127,4,4,4.0,4.0
P03942,Pakistan,electrician,female,65,climate change,4.0,0.0,128,4,4,4.0,4.0
P01379,France,veterinarian,male,25,religion and secularism,3.0,0.0,129,3,3,3.0,3.0
P01380,France,waiter,male,25,climate change,4.0,0.0,130,4,4,4.0,4.0
P01388,France,civil engineer,male,45,climate change,4.0,0.0,131,4,4,4.0,4.0
P03929,Pakistan,veterinarian,female,45,climate change,4.0,0.0,132,4,4,4.0,4.0
P01388,France,civil engineer,male,45,religion and secularism,3.0,0.0,133,3,3,3.0,3.0
P01389,France,computer programmer,male,45,climate change,4.0,0.0,134,4,4,4.0,4.0
P01389,France,computer programmer,male,45,religion and secularism,3.0,0.0,135,3,3,3.0,3.0
P03927,Pakistan,social worker,female,45,climate change,4.0,0.0,136,4,4,4.0,4.0
P01390,France,construction worker,male,45,religion and secularism,3.0,0.0,137,3,3,3.0,3.0
P03926,Pakistan,registered nurse,female,45,climate change,4.0,0.0,138,4,4,4.0,4.0
P01387,France,chef,male,45,religion and secularism,3.0,0.0,139,3,3,3.0,3.0
P01391,France,doctor,male,45,climate change,4.0,0.0,140,4,4,4.0,4.0
P03925,Pakistan,real estate agent,female,45,climate change,4.0,0.0,141,4,4,4.0,4.0
P03924,Pakistan,police officer,female,45,climate change,4.0,0.0,142,4,4,4.0,4.0
P01392,France,electrician,male,45,religion and secularism,3.0,0.0,143,3,3,3.0,3.0
P01393,France,elementary school teacher,male,45,climate change,4.0,0.0,144,4,4,4.0,4.0
P03923,Pakistan,plumber,female,45,climate change,4.0,0.0,145,4,4,4.0,4.0
P01393,France,elementary school teacher,male,45,religion and secularism,3.0,0.0,146,3,3,3.0,3.0
P03922,Pakistan,pharmacist,female,45,climate change,4.0,0.0,147,4,4,4.0,4.0
P03921,Pakistan,paramedic,female,45,climate change,4.0,0.0,148,4,4,4.0,4.0
P01391,France,doctor,male,45,religion and secularism,3.0,0.0,149,3,3,3.0,3.0
P01425,France,flight attendant,male,65,climate change,4.0,0.0,150,4,4,4.0,4.0
P03931,Pakistan,accountant,female,65,climate change,4.0,0.0,151,4,4,4.0,4.0
P03932,Pakistan,administrative assistant,female,65,climate change,4.0,0.0,152,4,4,4.0,4.0
P03941,Pakistan,doctor,female,65,climate change,4.0,0.0,153,4,4,4.0,4.0
P01380,France,waiter,male,25,religion and secularism,3.0,0.0,154,3,3,3.0,3.0
P01381,France,accountant,male,45,climate change,4.0,0.0,155,4,4,4.0,4.0
P03940,Pakistan,construction worker,female,65,climate change,4.0,0.0,156,4,4,4.0,4.0
P01381,France,accountant,male,45,religion and secularism,3.0,0.0,157,3,3,3.0,3.0
P03939,Pakistan,computer programmer,female,65,climate change,4.0,0.0,158,4,4,4.0,4.0
P01382,France,administrative assistant,male,45,climate change,4.0,0.0,159,4,4,4.0,4.0
P01382,France,administrative assistant,male,45,religion and secularism,3.0,0.0,160,3,3,3.0,3.0
P01387,France,chef,male,45,climate change,4.0,0.0,161,4,4,4.0,4.0
P01383,France,architect,male,45,climate change,4.0,0.0,162,4,4,4.0,4.0
P01383,France,architect,male,45,religion and secularism,3.0,0.0,163,3,3,3.0,3.0
P03935,Pakistan,business manager,female,65,climate change,4.0,0.0,164,4,4,4.0,4.0
P01384,France,bank teller,male,45,religion and secularism,3.0,0.0,165,3,3,3.0,3.0
P01385,France,business manager,male,45,climate change,4.0,0.0,166,4,4,4.0,4.0
P03934,Pakistan,bank teller,female,65,climate change,4.0,0.0,167,4,4,4.0,4.0
P01385,France,business manager,male,45,religion and secularism,3.0,0.0,168,3,3,3.0,3.0
P03933,Pakistan,architect,female,65,climate change,4.0,0.0,169,4,4,4.0,4.0
P01386,France,cashier,male,45,religion and secularism,3.0,0.0,170,3,3,3.0,3.0
P03937,Pakistan,chef,female,65,climate change,4.0,0.0,171,4,4,4.0,4.0
P01425,France,flight attendant,male,65,religion and secularism,3.0,0.0,172,3,3,3.0,3.0
P03875,Pakistan,business manager,female,25,climate change,4.0,0.0,173,4,4,4.0,4.0
P03874,Pakistan,bank teller,female,25,climate change,4.0,0.0,174,4,4,4.0,4.0
P03834,Pakistan,police officer,male,45,gender equality,4.0,0.0,175,4,4,4.0,4.0
P03834,Pakistan,police officer,male,45,climate change,4.0,0.0,176,4,4,4.0,4.0
P01463,France,plumber,female,25,climate change,4.0,0.0,177,4,4,4.0,4.0
P01463,France,plumber,female,25,religion and secularism,3.0,0.0,178,3,3,3.0,3.0
P03833,Pakistan,plumber,male,45,gender equality,4.0,0.0,179,4,4,4.0,4.0
P03832,Pakistan,pharmacist,male,45,trust in government,3.0,0.0,180,3,3,3.0,3.0
P01464,France,police officer,female,25,climate change,4.0,0.0,181,4,4,4.0,4.0
P01465,France,real estate agent,female,25,climate change,4.0,0.0,182,4,4,4.0,4.0
P01465,France,real estate agent,female,25,religion and secularism,3.0,0.0,183,3,3,3.0,3.0
P03831,Pakistan,paramedic,male,45,climate change,4.0,0.0,184,4,4,4.0,4.0
P01466,France,registered nurse,female,25,climate change,4.0,0.0,185,4,4,4.0,4.0
P03830,Pakistan,mechanic,male,45,gender equality,4.0,0.0,186,4,4,4.0,4.0
P01466,France,registered nurse,female,25,religion and secularism,3.0,0.0,187,3,3,3.0,3.0
P01467,France,social worker,female,25,climate change,4.0,0.0,188,4,4,4.0,4.0
P03829,Pakistan,lawyer,male,45,climate change,4.0,0.0,189,4,4,4.0,4.0
P01467,France,social worker,female,25,economic redistribution,4.0,0.0,190,4,4,4.0,4.0
P03828,Pakistan,journalist,male,45,lgbtq rights,3.0,0.0,191,3,3,3.0,3.0
P01462,France,pharmacist,female,25,religion and secularism,3.0,0.0,192,3,3,3.0,3.0
P01462,France,pharmacist,female,25,climate change,4.0,0.0,193,4,4,4.0,4.0
P03834,Pakistan,police officer,male,45,trust in government,3.0,0.0,194,3,3,3.0,3.0
P01461,France,paramedic,female,25,climate change,4.0,0.0,195,4,4,4.0,4.0
P01455,France,flight attendant,female,25,religion and secularism,3.0,0.0,196,3,3,3.0,3.0
P01456,France,hairdresser,female,25,climate change,4.0,0.0,197,4,4,4.0,4.0
P03841,Pakistan,accountant,male,65,gender equality,4.0,0.0,198,4,4,4.0,4.0
P01456,France,hairdresser,female,25,religion and secularism,3.0,0.0,199,3,3,3.0,3.0
P01457,France,janitor,female,25,climate change,4.0,0.0,200,4,4,4.0,4.0
P03840,Pakistan,waiter,male,45,gender equality,4.0,0.0,201,4,4,4.0,4.0
P01457,France,janitor,female,25,religion and secularism,3.0,0.0,202,3,3,3.0,3.0
P01458,France,journalist,female,25,climate change,4.0,0.0,203,4,4,4.0,4.0
P01468,France,truck driver,female,25,climate change,4.0,0.0,204,4,4,4.0,4.0
P03839,Pakistan,veterinarian,male,45,climate change,4.0,0.0,205,4,4,4.0,4.0
P01459,France,lawyer,female,25,climate change,4.0,0.0,206,4,4,4.0,4.0
P03837,Pakistan,social worker,male,45,lgbtq rights,3.0,0.0,207,3,3,3.0,3.0
P03837,Pakistan,social worker,male,45,climate change,4.0,0.0,208,4,4,4.0,4.0
P01460,France,mechanic,female,25,climate change,4.0,0.0,209,4,4,4.0,4.0
P03836,Pakistan,registered nurse,male,45,trust in government,3.0,0.0,210,3,3,3.0,3.0
P03836,Pakistan,registered nurse,male,45,lgbtq rights,3.0,0.0,211,3,3,3.0,3.0
P03836,Pakistan,registered nurse,male,45,climate change,4.0,0.0,212,4,4,4.0,4.0
P03835,Pakistan,real estate agent,male,45,trust in government,3.0,0.0,213,3,3,3.0,3.0
P01458,France,journalist,female,25,economic redistribution,4.0,0.0,214,4,4,4.0,4.0
P03828,Pakistan,journalist,male,45,climate change,4.0,0.0,215,4,4,4.0,4.0
P01468,France,truck driver,female,25,religion and secularism,3.0,0.0,216,3,3,3.0,3.0
P01469,France,veterinarian,female,25,climate change,4.0,0.0,217,4,4,4.0,4.0
P01476,France,cashier,female,45,religion and secularism,3.0,0.0,218,3,3,3.0,3.0
P03818,Pakistan,civil engineer,male,45,gender equality,4.0,0.0,219,4,4,4.0,4.0
P03818,Pakistan,civil engineer,male,45,climate change,4.0,0.0,220,4,4,4.0,4.0
P01477,France,chef,female,45,climate change,4.0,0.0,221,4,4,4.0,4.0
P01477,France,chef,female,45,immigration,4.0,0.0,222,4,4,4.0,4.0
P01477,France,chef,female,45,religion and secularism,3.0,0.0,223,3,3,3.0,3.0
P01478,France,civil engineer,female,45,climate change,4.0,0.0,224,4,4,4.0,4.0
P01478,France,civil engineer,female,45,religion and secularism,3.0,0.0,225,3,3,3.0,3.0
P01476,France,cashier,female,45,climate change,4.0,0.0,226,4,4,4.0,4.0
P01479,France,computer programmer,female,45,climate change,4.0,0.0,227,4,4,4.0,4.0
P03815,Pakistan,business manager,male,45,climate change,4.0,0.0,228,4,4,4.0,4.0
P03814,Pakistan,bank teller,male,45,trust in government,3.0,0.0,229,3,3,3.0,3.0
P01480,France,construction worker,female,45,climate change,4.0,0.0,230,4,4,4.0,4.0
P01480,France,construction worker,female,45,religion and secularism,3.0,0.0,231,3,3,3.0,3.0
P01481,France,doctor,female,45,immigration,4.0,0.0,232,4,4,4.0,4.0
P01481,France,doctor,female,45,religion and secularism,3.0,0.0,233,3,3,3.0,3.0
P03813,Pakistan,architect,male,45,climate change,4.0,0.0,234,4,4,4.0,4.0
P01482,France,electrician,female,45,climate change,4.0,0.0,235,4,4,4.0,4.0
P03815,Pakistan,business manager,male,45,gender equality,4.0,0.0,236,4,4,4.0,4.0
P01455,France,flight attendant,female,25,climate change,4.0,0.0,237,4,4,4.0,4.0
P03819,Pakistan,computer programmer,male,45,climate change,4.0,0.0,238,4,4,4.0,4.0
P01475,France,business manager,female,45,climate change,4.0,0.0,239,4,4,4.0,4.0
P03825,Pakistan,flight attendant,male,45,lgbtq rights,3.0,0.0,240,3,3,3.0,3.0
P01469,France,veterinarian,female,25,religion and secularism,3.0,0.0,241,3,3,3.0,3.0
P03825,Pakistan,flight attendant,male,45,climate change,4.0,0.0,242,4,4,4.0,4.0
P01470,France,waiter,female,25,climate change,4.0,0.0,243,4,4,4.0,4.0
P01470,France,waiter,female,25,religion and secularism,3.0,0.0,244,3,3,3.0,3.0
P01471,France,accountant,female,45,climate change,4.0,0.0,245,4,4,4.0,4.0
P03823,Pakistan,elementary school teacher,male,45,trust in government,3.0,0.0,246,3,3,3.0,3.0
P01471,France,accountant,female,45,religion and secularism,3.0,0.0,247,3,3,3.0,3.0
P01475,France,business manager,female,45,religion and secularism,3.0,0.0,248,3,3,3.0,3.0
P03823,Pakistan,elementary school teacher,male,45,climate change,4.0,0.0,249,4,4,4.0,4.0
P01472,France,administrative assistant,female,45,religion and secularism,3.0,0.0,250,3,3,3.0,3.0
P03822,Pakistan,electrician,male,45,gender equality,4.0,0.0,251,4,4,4.0,4.0
P01473,France,architect,female,45,climate change,4.0,0.0,252,4,4,4.0,4.0
P03821,Pakistan,doctor,male,45,trust in government,3.0,0.0,253,3,3,3.0,3.0
P01473,France,architect,female,45,religion and secularism,3.0,0.0,254,3,3,3.0,3.0
P01474,France,bank teller,female,45,climate change,4.0,0.0,255,4,4,4.0,4.0
P03821,Pakistan,doctor,male,45,climate change,4.0,0.0,256,4,4,4.0,4.0
P01474,France,bank teller,female,45,religion and secularism,3.0,0.0,257,3,3,3.0,3.0
P01472,France,administrative assistant,female,45,climate change,4.0,0.0,258,4,4,4.0,4.0
P01363,France,elementary school teacher,male,25,religion and secularism,3.0,0.0,259,3,3,3.0,3.0
P03842,Pakistan,administrative assistant,male,65,trust in government,3.0,0.0,260,3,3,3.0,3.0
P03843,Pakistan,architect,male,65,climate change,4.0,0.0,261,4,4,4.0,4.0
P03865,Pakistan,real estate agent,male,65,gender equality,4.0,0.0,262,4,4,4.0,4.0
P01435,France,real estate agent,male,65,climate change,4.0,0.0,263,4,4,4.0,4.0
P03864,Pakistan,police officer,male,65,gender equality,4.0,0.0,264,4,4,4.0,4.0
P03864,Pakistan,police officer,male,65,climate change,4.0,0.0,265,4,4,4.0,4.0
P01435,France,real estate agent,male,65,religion and secularism,3.0,0.0,266,3,3,3.0,3.0
P01436,France,registered nurse,male,65,climate change,4.0,0.0,267,4,4,4.0,4.0
P03863,Pakistan,plumber,male,65,gender equality,4.0,0.0,268,4,4,4.0,4.0
P01436,France,registered nurse,male,65,lgbtq rights,4.0,0.0,269,4,4,4.0,4.0
P01436,France,registered nurse,male,65,religion and secularism,3.0,0.0,270,3,3,3.0,3.0
P01437,France,social worker,male,65,climate change,4.0,0.0,271,4,4,4.0,4.0
P01437,France,social worker,male,65,religion and secularism,3.0,0.0,272,3,3,3.0,3.0
P03861,Pakistan,paramedic,male,65,climate change,4.0,0.0,273,4,4,4.0,4.0
P01438,France,truck driver,male,65,religion and secularism,3.0,0.0,274,3,3,3.0,3.0
P01439,France,veterinarian,male,65,climate change,4.0,0.0,275,4,4,4.0,4.0
P03860,Pakistan,mechanic,male,65,gender equality,4.0,0.0,276,4,4,4.0,4.0
P01439,France,veterinarian,male,65,lgbtq rights,4.0,0.0,277,4,4,4.0,4.0
P01439,France,veterinarian,male,65,religion and secularism,3.0,0.0,278,3,3,3.0,3.0
P03865,Pakistan,real estate agent,male,65,trust in government,3.0,0.0,279,3,3,3.0,3.0
P03866,Pakistan,registered nurse,male,65,climate change,4.0,0.0,280,4,4,4.0,4.0
P01433,France,plumber,male,65,religion and secularism,3.0,0.0,281,3,3,3.0,3.0
P03866,Pakistan,registered nurse,male,65,lgbtq rights,3.0,0.0,282,3,3,3.0,3.0
P01426,France,hairdresser,male,65,religion and secularism,3.0,0.0,283,3,3,3.0,3.0
P01427,France,janitor,male,65,religion and secularism,3.0,0.0,284,3,3,3.0,3.0
P03873,Pakistan,architect,female,25,climate change,4.0,0.0,285,4,4,4.0,4.0
P01428,France,journalist,male,65,climate change,4.0,0.0,286,4,4,4.0,4.0
P03872,Pakistan,administrative assistant,female,25,climate change,4.0,0.0,287,4,4,4.0,4.0
P01428,France,journalist,male,65,religion and secularism,3.0,0.0,288,3,3,3.0,3.0
P01429,France,lawyer,male,65,climate change,4.0,0.0,289,4,4,4.0,4.0
P03871,Pakistan,accountant,female,25,climate change,4.0,0.0,290,4,4,4.0,4.0
P03859,Pakistan,lawyer,male,65,gender equality,4.0,0.0,291,4,4,4.0,4.0
P03870,Pakistan,waiter,male,65,gender equality,4.0,0.0,292,4,4,4.0,4.0
P03869,Pakistan,veterinarian,male,65,climate change,4.0,0.0,293,4,4,4.0,4.0
P01431,France,paramedic,male,65,climate change,4.0,0.0,294,4,4,4.0,4.0
P01431,France,paramedic,male,65,religion and secularism,3.0,0.0,295,3,3,3.0,3.0
P01432,France,pharmacist,male,65,climate change,4.0,0.0,296,4,4,4.0,4.0
P03867,Pakistan,social worker,male,65,lgbtq rights,3.0,0.0,297,3,3,3.0,3.0
P01432,France,pharmacist,male,65,religion and secularism,3.0,0.0,298,3,3,3.0,3.0
P03867,Pakistan,social worker,male,65,climate change,4.0,0.0,299,4,4,4.0,4.0
P03866,Pakistan,registered nurse,male,65,trust in government,3.0,0.0,300,3,3,3.0,3.0
P01430,France,mechanic,male,65,religion and secularism,3.0,0.0,301,3,3,3.0,3.0
P03859,Pakistan,lawyer,male,65,climate change,4.0,0.0,302,4,4,4.0,4.0
P03858,Pakistan,journalist,male,65,lgbtq rights,3.0,0.0,303,3,3,3.0,3.0
P01440,France,waiter,male,65,religion and secularism,3.0,0.0,304,3,3,3.0,3.0
P01448,France,civil engineer,female,25,climate change,4.0,0.0,305,4,4,4.0,4.0
P03850,Pakistan,construction worker,male,65,gender equality,4.0,0.0,306,4,4,4.0,4.0
P01448,France,civil engineer,female,25,religion and secularism,3.0,0.0,307,3,3,3.0,3.0
P01449,France,computer programmer,female,25,climate change,4.0,0.0,308,4,4,4.0,4.0
P01449,France,computer programmer,female,25,religion and secularism,3.0,0.0,309,3,3,3.0,3.0
P03848,Pakistan,civil engineer,male,65,gender equality,4.0,0.0,310,4,4,4.0,4.0
P01450,France,construction worker,female,25,climate change,4.0,0.0,311,4,4,4.0,4.0
P03848,Pakistan,civil engineer,male,65,climate change,4.0,0.0,312,4,4,4.0,4.0
P01447,France,chef,female,25,religion and secularism,3.0,0.0,313,3,3,3.0,3.0
P01450,France,construction worker,female,25,religion and secularism,3.0,0.0,314,3,3,3.0,3.0
P01451,France,doctor,female,25,religion and secularism,3.0,0.0,315,3,3,3.0,3.0
P01452,France,electrician,female,25,climate change,4.0,0.0,316,4,4,4.0,4.0
